728310ce a4f50e79 a53f7758 00000020 00000024 0 0
fce8d5ac 8260b4bd 24f31b0b 00000068 0000006c 0 1
e025fe60 af482e51 6931659f 00000068 0000006c 0 0
2957cfc4 0c3b006a 82e9cac3 0000006c 00000070 0 1
ce2e3f9e d39bde4a ddb410a7 0000006c 00000070 0 0
7bbc2531 dd03d028 ce555966 00000070 00000074 0 0
e6ddea8b ae58dcba 9eb01d23 00000074 00000078 3 0
55958710 ad570db8 f73c6a83 9eb01d23 9eb01d27 0 0
2935cf34 3d89a93d 4fe59801 9eb01d27 9eb01d2b 0 1
9ddf9fdf 9a1159f5 fc1fc039 9eb01d27 9eb01d2b 0 0
e0fe7e88 5eabd222 e8c8f9b1 9eb01d2b 9eb01d2f 0 0
513c40b9 eb4b9516 7f673772 9eb01d2f 9eb01d33 0 1
91b09db9 8992fc9f 1aa6ba51 9eb01d2f 9eb01d33 0 1
1a05b11c 10adc1be 2a4849b0 9eb01d2f 9eb01d33 0 0
90ab58ac 9edc6fcb df31dc03 9eb01d33 9eb01d37 0 1
d41aedc4 86ddcfe4 ac3c6d06 9eb01d33 9eb01d37 0 0
e5941c04 6675f2e5 f80e9d86 9eb01d37 9eb01d3b 0 1
a04b7422 29533d1b c03ad01b 9eb01d37 9eb01d3b 0 0
5ffe7581 dc5222de d49f2d12 9eb01d3b 9eb01d3f 0 0
614ae14a b5d8dd2e 0ba15190 9eb01d3f 9eb01d43 0 0
b5c47521 75c28053 acb02750 9eb01d43 9eb01d47 0 0
bd8eb50e 4fde0e26 c4e053eb 9eb01d47 9eb01d4b 0 0
d9411b50 98d1f7cc 3de5e31a 9eb01d4b 9eb01d4f 0 0
bc7d35df 78d5a05c 1d9a090b 9eb01d4f 9eb01d53 0 1
24ce2912 c23c550a 1738d2f8 9eb01d4f 9eb01d53 0 0
d8b36c12 fe761d40 253b1a21 9eb01d53 9eb01d57 0 1
bc981f27 955f40b8 9ed620d4 9eb01d53 9eb01d57 0 1
240139eb d6e9b946 a1e699a3 9eb01d53 9eb01d57 0 1
a6db1c67 9240ff13 2e1886c4 9eb01d53 9eb01d57 0 1
9c5e31aa c9b2b440 a44cd40a 9eb01d53 9eb01d57 0 1
2761b923 669026ff e23e920f 9eb01d53 9eb01d57 0 0
2553c964 49470f2e 6c7ec0c0 9eb01d57 9eb01d5b 0 0
a09ccf82 1c89dd2e f30c63e3 9eb01d5b 9eb01d5f 0 1
23af90ae 768125b0 8c2ede4a 9eb01d5b 9eb01d5f 0 0
128fc300 c453ff28 fae0e317 9eb01d5f 9eb01d63 0 1
84105d02 ab69bcf3 719624dd 9eb01d5f 9eb01d63 0 1
f823fe54 42c0cf8f 0820cb71 9eb01d5f 9eb01d63 0 1
17fa8601 3ef2c59d cff0d00e 9eb01d5f 9eb01d63 0 1
a61a492b 4d86b3a8 2a204ccb 9eb01d5f 9eb01d63 0 1
939942d1 bd653094 99bed838 9eb01d5f 9eb01d63 0 1
19fdd2dc 22d6f344 cad9efbf 9eb01d5f 9eb01d63 0 1
77a92425 a4b5fac0 d6f23c50 9eb01d5f 9eb01d63 0 1
e2d15335 698887a6 11096b3f 9eb01d5f 9eb01d63 0 1
794ad0b6 50aa34c5 e33090a2 9eb01d5f 9eb01d63 0 1
a03c8352 8a492f64 7d4efb2a 9eb01d5f 9eb01d63 0 1
d78cfc7c 8c1fda79 4bc0f8a6 9eb01d5f 9eb01d63 0 0
91019c7c 0da8e1f2 5ae9519a 9eb01d63 9eb01d67 0 0
72ef7b29 f7e011b1 acce71b9 9eb01d67 9eb01d6b 0 0
c3b5eae9 838a342f 35bf30dd 9eb01d6b 9eb01d6f 0 0
9e6a080f 8788934b 9589a10e 9eb01d6f 9eb01d73 0 0
8d94042e 59589da2 16008869 9eb01d73 9eb01d77 0 1
94d5502e 4e4fb61c e1472858 9eb01d73 9eb01d77 0 0
d65146bb 9f23061b d3133d1e 9eb01d77 9eb01d7b 0 1
ee38d1b5 c50cbcfe da6f0513 9eb01d77 9eb01d7b 0 0
e30aec10 e991c453 dac13110 9eb01d7b 9eb01d7f 0 0
089e70fc bf6f4868 2556a869 9eb01d7f 9eb01d83 0 0
78b236e0 c9f0e775 fc1bcfe5 9eb01d83 9eb01d87 3 0
4b698da8 8b68cdd2 9b4a8752 fc1bcfe5 fc1bcfe9 0 0
cb55a3c6 607c6005 ec219567 fc1bcfe9 fc1bcfed 0 0
43f3d539 78ee993a 676023d5 fc1bcfed fc1bcff1 0 1
46c05edd 92216db4 a061b1c2 fc1bcfed fc1bcff1 0 1
5e75dd56 0caab813 ec1ccd5e fc1bcfed fc1bcff1 0 1
1ba0f618 9ea6ed12 7950da11 fc1bcfed fc1bcff1 0 0
5793675f ce4f73f7 32b8924d fc1bcff1 fc1bcff5 0 0
9c913f13 322206ca 61c4ad7f fc1bcff5 fc1bcff9 0 0
7422444a c4c3897b ed026cab fc1bcff9 fc1bcffd 0 0
3bfa51a8 d44402c5 3e4bbb73 fc1bcffd fc1bd001 0 0
87ea87fd b2a6c7f2 60eb3438 fc1bd001 fc1bd005 0 0
32cd95a8 c80169b7 929703ef fc1bd005 fc1bd009 0 1
d32f1ac0 4092e1b6 17fd25b8 fc1bd005 fc1bd009 0 0
e6814090 2e5a205c 2311b97c fc1bd009 fc1bd00d 0 0
70171450 0f126710 ece2657f fc1bd00d fc1bd011 0 1
2a51c971 6e2c5f7f 3593f229 fc1bd00d fc1bd011 0 0
abcf4567 7d408c3b b16679ab fc1bd011 fc1bd015 0 1
04a11c72 7ef63386 5b4b8cf1 fc1bd011 fc1bd015 0 0
2ae3ad51 8e9f8c64 79bf134a fc1bd015 fc1bd019 0 1
c00f1f20 9b3297d9 b5cebfdc fc1bd015 fc1bd019 0 1
4537f879 8597e8b4 ef8a8106 fc1bd015 fc1bd019 0 0
ce9e58d2 0b5851e9 71ace018 fc1bd019 fc1bd01d 0 0
079c4777 2a28e4fd a72680f1 fc1bd01d fc1bd021 0 0
967178d6 c44acf21 6da1d060 fc1bd021 fc1bd025 0 0
a9d7c404 b8fd8e88 e89e8ef9 fc1bd025 fc1bd029 2 1
648bef7d 92e08512 8ad92d2c fc1bd025 fc1bd029 0 0
323a40b4 a095a533 51ee2e36 fc1bd029 fc1bd02d 0 0
e9ce24f2 f1100981 430b039c fc1bd02d fc1bd031 0 0
8b0ea4cf 9419be7a 90eb7ef4 fc1bd031 fc1bd035 0 0
20bf76f9 cb2da257 c8d78b52 fc1bd035 fc1bd039 0 1
eee9c0b5 d462aec3 4f1ae15c fc1bd035 fc1bd039 0 1
6ce4407b ecb14289 4cfd3609 fc1bd035 fc1bd039 0 1
091f8532 c965ea06 75cd4f70 fc1bd035 fc1bd039 0 0
ce5ccad5 b8b1609f f3b436cc fc1bd039 fc1bd03d 0 0
e38ceb7c 22ecbcfd cc027150 fc1bd03d fc1bd041 0 0
17b187dd c6a8718c 26e7802d fc1bd041 fc1bd045 0 0
7930243a f730cb51 ee993247 fc1bd045 fc1bd049 0 1
60b379ae cfecd31f 9acb3d33 fc1bd045 fc1bd049 0 0
dea297b0 b9cb46f2 494e7bec fc1bd049 fc1bd04d 0 0
dfb09a00 1217590d 819724db fc1bd04d fc1bd051 0 0
f7d92bff 28aa6af7 4d2fac10 fc1bd051 fc1bd055 0 0
4b114513 38da6f48 762545d2 fc1bd055 fc1bd059 0 1
1a285f51 4bcfd54b 19fe8d43 fc1bd055 fc1bd059 0 1
bb32bf3b aeff4f36 6dbb736f fc1bd055 fc1bd059 0 0
aa4c21bd a150abea 7df70fa0 fc1bd059 fc1bd05d 0 1
d0ed0eab 3609318b 8e809357 fc1bd059 fc1bd05d 0 1
5010d9b3 c8d0d396 929cc284 fc1bd059 fc1bd05d 0 1
76821257 1931a501 b104e414 fc1bd059 fc1bd05d 0 1
1cda5ccd 1cbd6c26 484170fe fc1bd059 fc1bd05d 0 1
b163d050 b322a0d2 abead189 fc1bd059 fc1bd05d 0 1
378593b5 fcbc7ee7 9c654624 fc1bd059 fc1bd05d 0 1
6f46e6c8 7658ab92 67efeeb7 fc1bd059 fc1bd05d 0 0
ff3db48d 46113008 a29ddd1c fc1bd05d fc1bd061 0 1
a371e9da 1013196c 3a0baf6d fc1bd05d fc1bd061 0 1
18556e02 f520085b 08ac8928 fc1bd05d fc1bd061 0 1
dee45d56 a40c5156 e777c34e fc1bd05d fc1bd061 0 1
2aa1d033 68c4258e a878eb80 fc1bd05d fc1bd061 0 1
96256abe b4c8673c 19ad422c fc1bd05d fc1bd061 0 0
78ef875d df9a9f8f 6b3bd310 fc1bd061 fc1bd065 0 0
ff7c7d07 6ef0a946 fd075526 fc1bd065 fc1bd069 0 0
0b283415 5253bf68 2a6c558c fc1bd069 fc1bd06d 0 1
eb8804c5 8091ac26 997a64e8 fc1bd069 fc1bd06d 0 1
cfca91f6 1bc6ea50 3920a62c fc1bd069 fc1bd06d 0 0
6b725323 4c3901d5 cc0ba5c8 fc1bd06d fc1bd071 0 1
b8f64205 b9319692 e31a997e fc1bd06d fc1bd071 0 0
78d01b7e 4e8d52fc 2b4dd7cd fc1bd071 fc1bd075 0 0
99c7c6d0 591d484f 824e4cc9 fc1bd075 fc1bd079 0 1
3fedc584 c89f4120 82c53d0b fc1bd075 fc1bd079 0 1
8affcf5d e322e9a2 611aa627 fc1bd075 fc1bd079 0 0
6f553fec 49d73983 4a179a21 fc1bd079 fc1bd07d 0 1
eda09bec 2c454983 3fad2f86 fc1bd079 fc1bd07d 0 1
444f3ddf 5285cf7d 49c02169 fc1bd079 fc1bd07d 0 0
c3711bd3 3bd1ee50 60737472 fc1bd07d fc1bd081 0 1
30b567e4 831197ce f1ec7c08 fc1bd07d fc1bd081 0 0
76177516 ee7eb350 8f1376db fc1bd081 fc1bd085 1 1
f5114a03 92058ff4 c849c63d fc1bd081 fc1bd085 0 0
fabe939a 90f33f05 ee4be563 fc1bd085 fc1bd089 0 1
e00d78ca 6b13b817 7a1feba0 fc1bd085 fc1bd089 0 0
d8c37b19 3bc71c42 086c06da fc1bd089 fc1bd08d 0 1
cfcf23b6 b44d428a 96009cd9 fc1bd089 fc1bd08d 0 0
d24b1965 ce1a79e2 49ee2376 fc1bd08d fc1bd091 0 0
1ccd7671 c8d2b6b0 7ea01575 fc1bd091 fc1bd095 0 0
23a49138 0eb0506c 033d8cac fc1bd095 fc1bd099 0 0
04ffae94 f09a52f8 55f28caa fc1bd099 fc1bd09d 0 1
466646ce 6ad735f4 53eb4404 fc1bd099 fc1bd09d 0 1
7c66850a 5c7c020d 6afc512d fc1bd099 fc1bd09d 0 0
3c95f37c f5a15581 a17328e3 fc1bd09d fc1bd0a1 0 0
3199be2c 391756de 29a57567 fc1bd0a1 fc1bd0a5 0 1
45ee350e 80c9ab55 86eb5b3c fc1bd0a1 fc1bd0a5 0 0
a9e0e31b 9602548d a35ea6ec fc1bd0a5 fc1bd0a9 0 0
ce0b42f2 13182db9 90d2c4bb fc1bd0a9 fc1bd0ad 0 0
f889cee5 0a4e42bf 1dd07d29 fc1bd0ad fc1bd0b1 0 1
9ecb53e3 76f1066e ade32cb3 fc1bd0ad fc1bd0b1 0 0
28a72fdc 41fe0d44 14ea9462 fc1bd0b1 fc1bd0b5 0 1
2800070e 309520b2 ae8e9ca6 fc1bd0b1 fc1bd0b5 0 0
2bccac51 fb05a99a a16a5ac2 fc1bd0b5 fc1bd0b9 0 0
3bdc84e5 c99e2d9b 067d41c1 fc1bd0b9 fc1bd0bd 0 0
c0c07412 32e0e58f 6859ac4c fc1bd0bd fc1bd0c1 0 0
b5416d15 241604b6 97f52954 fc1bd0c1 fc1bd0c5 0 0
be7a1be5 1a461766 e309fc81 fc1bd0c5 fc1bd0c9 2 1
34e25fa2 84a92243 528f9c59 fc1bd0c5 fc1bd0c9 0 1
37cb1cfd 4f004bc4 2cd2c8bc fc1bd0c5 fc1bd0c9 0 0
bb545f74 2c04f792 5828cf95 fc1bd0c9 fc1bd0cd 0 0
8c4394f8 868b5702 996fa920 fc1bd0cd fc1bd0d1 0 1
0c7c84df 8c53ae4a 1ff497aa fc1bd0cd fc1bd0d1 0 1
65d359a7 52400731 7ae348d9 fc1bd0cd fc1bd0d1 0 1
97ffc31a 83325898 d5fefeae fc1bd0cd fc1bd0d1 0 0
4aaa072c c090cf5f af01c90d fc1bd0d1 fc1bd0d5 0 0
05ac2210 0ac7ad90 fcf05911 fc1bd0d5 fc1bd0d9 0 0
ed85f629 d929b569 c108cf73 fc1bd0d9 fc1bd0dd 0 0
bee5650d a6de1af8 973843bf fc1bd0dd fc1bd0e1 0 0
4954e733 916645a6 3b7f2747 fc1bd0e1 fc1bd0e5 0 0
a9ebc1bf 27264eae 1252a9f3 fc1bd0e5 fc1bd0e9 0 1
f92e5006 7db2c159 8bded245 fc1bd0e5 fc1bd0e9 0 1
061862af 26746235 cea9086c fc1bd0e5 fc1bd0e9 0 0
91f58803 84996692 d41a1f70 fc1bd0e9 fc1bd0ed 0 1
a906b3db 70075194 fec5da66 fc1bd0e9 fc1bd0ed 0 1
720f53f7 0fd4f7e2 d8df26c3 fc1bd0e9 fc1bd0ed 0 0
292e5cc4 c4239eb5 07646f93 fc1bd0ed fc1bd0f1 0 1
bb2bc48d 4272ddb2 45a1299e fc1bd0ed fc1bd0f1 0 1
cb95394f af0d6c67 30a46043 fc1bd0ed fc1bd0f1 0 1
3d73af6a b0e9c366 778c50ce fc1bd0ed fc1bd0f1 0 1
54829307 300f1195 89f6ef89 fc1bd0ed fc1bd0f1 0 1
9ffdcf48 859e0acd 1dc26e42 fc1bd0ed fc1bd0f1 0 1
ba92a2d0 b446b205 34a99038 fc1bd0ed fc1bd0f1 1 0
f091d95a a0691ba3 91af628d ba92a2d0 ba92a2d4 0 1
d8379fad 23b0f828 028c856c ba92a2d0 ba92a2d4 0 0
04116b2c 5e5c02ff 00d0740e ba92a2d4 ba92a2d8 0 1
b963ecfa 81fa5f39 a12cd329 ba92a2d4 ba92a2d8 0 0
fc8b616f c32c86ee c74b5672 ba92a2d8 ba92a2dc 0 0
41f1b4f5 07bca1cb ed1db353 ba92a2dc ba92a2e0 0 0
2a546bc4 95ec7885 50e42a99 ba92a2e0 ba92a2e4 0 1
3cb621c5 392c147b 20079569 ba92a2e0 ba92a2e4 0 0
fc9f1ff7 d2dc9bb5 2f70ab67 ba92a2e4 ba92a2e8 0 1
50076fd4 b08e15d1 bd7fb7b4 ba92a2e4 ba92a2e8 0 0
22783c02 8c7e6968 4d79d51f ba92a2e8 ba92a2ec 0 1
26fab8e2 dd2ef542 44b3e19c ba92a2e8 ba92a2ec 0 1
f3c3ceb0 829679ea 28c525bf ba92a2e8 ba92a2ec 0 1
adf8d232 ccd292e3 27d8acb8 ba92a2e8 ba92a2ec 0 1
e56ee92e 1c1c3d30 a0e8f0e0 ba92a2e8 ba92a2ec 0 1
e3900e79 8e66db8d 0e66b751 ba92a2e8 ba92a2ec 0 0
382ee832 5faabc8f 1ab55d65 ba92a2ec ba92a2f0 0 1
ecaa013d 683c59c7 377b49c9 ba92a2ec ba92a2f0 0 1
6c28bafa 810b0ba0 c62aae8b ba92a2ec ba92a2f0 0 0
7569e738 5e102000 08f2bf9b ba92a2f0 ba92a2f4 0 0
689a6f29 645d5c83 110f4cb2 ba92a2f4 ba92a2f8 0 0
5e571383 48c6eba1 659a79e3 ba92a2f8 ba92a2fc 0 0
213a0307 75867150 fa9dade9 ba92a2fc ba92a300 0 0
77b493c8 ec2e012d 5f5b9d24 ba92a300 ba92a304 0 0
644493f5 9f0dc157 28dcd663 ba92a304 ba92a308 0 0
b6c3ab88 ebfbfc32 75cbc999 ba92a308 ba92a30c 0 1
642e9c5c 74fa7080 de801dea ba92a308 ba92a30c 0 0
3e212105 b6ec1177 a1668acd ba92a30c ba92a310 0 0
f9d8115f 77a35c8f c7bbb0a6 ba92a310 ba92a314 0 0
9c44b350 017442e8 468ed90e ba92a314 ba92a318 0 1
0789fe5e 8324c4f3 497f88ab ba92a314 ba92a318 0 1
46bde30c 1fd696c8 102a81a7 ba92a314 ba92a318 0 1
1ea53699 1f63b795 bf5a70e6 ba92a314 ba92a318 0 1
ff0f3f5c 1124f296 7c596cc9 ba92a314 ba92a318 0 1
b8da3d7c d63cf91b 7a91d432 ba92a314 ba92a318 0 1
f725bce0 5acdffbd 74ba71ef ba92a314 ba92a318 0 1
092612c6 8db7aa92 b53daade ba92a314 ba92a318 0 0
e2924893 014ce0dd 714c4207 ba92a318 ba92a31c 0 0
25277490 5b8923d1 76262cb3 ba92a31c ba92a320 0 0
cc51b9ce 79c3fbc2 1d704174 ba92a320 ba92a324 0 0
df571d06 10abc962 e045aeb5 ba92a324 ba92a328 0 1
5b188cb2 97b4dba4 c9454127 ba92a324 ba92a328 0 0
b7a05682 54bb1427 52a661f0 ba92a328 ba92a32c 0 1
dd615d5e 34bb3414 aa095887 ba92a328 ba92a32c 0 0
5b80e3f7 709140f9 ec16869d ba92a32c ba92a330 0 1
69ca4afb 2ff67f83 8e41f94d ba92a32c ba92a330 0 0
8543c9ad cc047957 a38ea1f8 ba92a330 ba92a334 0 1
855de45c dce70143 f9ff5579 ba92a330 ba92a334 0 1
1443f93e e66a4741 49b1f32e ba92a330 ba92a334 0 1
f86dc51e f3091255 e5a480ed ba92a330 ba92a334 3 1
8257c085 43077fb6 cb811d36 ba92a330 ba92a334 0 1
e59ffd2a 01486047 4a9c8754 ba92a330 ba92a334 0 1
89a9652d fb505e7f aa617eeb ba92a330 ba92a334 0 1
e734e2ba d39a46f5 9951b690 ba92a330 ba92a334 0 1
e4923b43 509d0da0 bce64152 ba92a330 ba92a334 0 1
fdc786b9 ab37639c de87fa6e ba92a330 ba92a334 0 1
acd3be11 3337ea54 ca03b5c6 ba92a330 ba92a334 0 0
a3e2920d f56e12c2 8186616d ba92a334 ba92a338 0 1
1def13db d68bbf52 34486032 ba92a334 ba92a338 0 0
dda087e5 94a5ad75 396e4d8b ba92a338 ba92a33c 0 0
27f3c432 f75e37b8 ace087ae ba92a33c ba92a340 0 0
0e302a35 ef83a5cf 1ebb7440 ba92a340 ba92a344 0 0
9e0fb537 5f91ddc3 3ff798f5 ba92a344 ba92a348 0 0
e7ebaf8b 30742566 f78a839d ba92a348 ba92a34c 0 0
b2a7e7af 647e23b4 e6b254cf ba92a34c ba92a350 0 0
45bda337 7668ce77 99fc8cb5 ba92a350 ba92a354 0 0
41dccf50 f5a79da1 3e592702 ba92a354 ba92a358 0 0
245638d1 6bd6a499 113e9067 ba92a358 ba92a35c 0 1
947002d2 88ce3573 091b0322 ba92a358 ba92a35c 0 1
eca82344 3b702213 16fa76b2 ba92a358 ba92a35c 0 0
9acb616e e2d42920 85f3f17c ba92a35c ba92a360 0 0
e05340a6 97a0321a bda03aed ba92a360 ba92a364 0 1
047a9f8c d66cf741 3a3c7b71 ba92a360 ba92a364 0 0
72b0a12b 939514d6 5d4de571 ba92a364 ba92a368 0 1
191e8415 15bf05ea 3eaf8d32 ba92a364 ba92a368 2 1
d36f92fc 2acb637b 313fff11 ba92a364 ba92a368 0 0
30400c7b abbcb5b0 7d0f0cc8 ba92a368 ba92a36c 0 1
8d20055a 59853a99 dea824e0 ba92a368 ba92a36c 0 1
997e7f8f 8cb45357 49a9ab41 ba92a368 ba92a36c 0 1
3626ba73 51cce4dd c729876b ba92a368 ba92a36c 0 1
197a8361 86808267 df153d27 ba92a368 ba92a36c 0 0
2c34427c 1a18008a b1cc2396 ba92a36c ba92a370 0 1
3313c389 a85ddf67 c0246a70 ba92a36c ba92a370 0 1
b58c25b8 c7dc450b fa738eb8 ba92a36c ba92a370 0 0
d9e1e334 968417a2 5a0653e6 ba92a370 ba92a374 0 0
63b02e5f 2d794c38 c1142770 ba92a374 ba92a378 0 0
7fcfdc54 4f716989 786c6d0a ba92a378 ba92a37c 0 0
203bb3e9 2e7fe5d8 6db7cf3b ba92a37c ba92a380 0 0
24b4ca9d 48451f03 d1cb05df ba92a380 ba92a384 0 1
6c081a68 15bd67a8 2ff2b84c ba92a380 ba92a384 0 0
cf1aea45 a8730cca cddb598e ba92a384 ba92a388 0 1
ca9ab5e3 7d509ab7 6f43af4c ba92a384 ba92a388 0 0
ad3d9595 ef39d93b 04ad00cf ba92a388 ba92a38c 0 0
51814dcb 1b9fc29e 81beefc4 ba92a38c ba92a390 0 0
774ee5d1 6658ed4c 314f4a6c ba92a390 ba92a394 0 0
6117b957 33d4a95f 2142ff99 ba92a394 ba92a398 0 0
24b18377 b16dd63b fc04d32d ba92a398 ba92a39c 0 0
94110f03 79f612d6 79f35b28 ba92a39c ba92a3a0 0 0
4dc37efb 3781fc6b ed0b6ea3 ba92a3a0 ba92a3a4 0 1
bbc8a325 23dc7a87 ccc66b6f ba92a3a0 ba92a3a4 3 1
23909732 6ffaac0a 3968b557 ba92a3a0 ba92a3a4 0 1
1f5f3aa3 406df1d7 ef20e2f2 ba92a3a0 ba92a3a4 0 1
83b81793 fcada664 bcccd5eb ba92a3a0 ba92a3a4 0 0
b6e964ce f312782c 71dbb409 ba92a3a4 ba92a3a8 0 1
8c3046c2 d6a019df a469ad8a ba92a3a4 ba92a3a8 0 1
16f1811b 385eb2f6 c70c54f1 ba92a3a4 ba92a3a8 0 0
3e231bdc c37c9d54 b616ab4f ba92a3a8 ba92a3ac 0 0
63919dc0 f2a0cb16 648c6fea ba92a3ac ba92a3b0 0 1
111ae635 84ebb34d 7e8ddbfb ba92a3ac ba92a3b0 0 1
2fc576a4 cca4845e 816d999c ba92a3ac ba92a3b0 0 1
38e2322d 20c1ba4e 6cf103e4 ba92a3ac ba92a3b0 0 1
677b3483 017e1df1 a1c792ed ba92a3ac ba92a3b0 0 1
d0165a0f 53060b31 441d44ce ba92a3ac ba92a3b0 0 0
a2f8668d c10fbc10 3c2bfb9b ba92a3b0 ba92a3b4 0 1
bde46c44 27870cb1 67123021 ba92a3b0 ba92a3b4 0 1
87183889 640954e8 bba74380 ba92a3b0 ba92a3b4 0 1
eedfe986 2075d117 a6159e28 ba92a3b0 ba92a3b4 0 1
fb349af6 3fb54e17 543a7753 ba92a3b0 ba92a3b4 0 0
60cf4996 c8070a22 7ac723ec ba92a3b4 ba92a3b8 0 0
35f9c41d b9c7c77a bcf63213 ba92a3b8 ba92a3bc 0 1
8ac882ad 7936ed6f 5e6208d1 ba92a3b8 ba92a3bc 0 1
88bcea7e 3ce60be8 d99cbbe3 ba92a3b8 ba92a3bc 0 0
d2bda69a cf7a8dcd 1e038fb0 ba92a3bc ba92a3c0 0 1
bb1ff332 8690ed55 5c9807b2 ba92a3bc ba92a3c0 0 0
f749378e 4ae7f90a 3afbcfe4 ba92a3c0 ba92a3c4 1 1
fdee3c81 356b2692 36fc6bb3 ba92a3c0 ba92a3c4 0 0
3a05c2aa 9b282694 b0a99b7e ba92a3c4 ba92a3c8 0 1
c7c22969 5b14506a 36fe530e ba92a3c4 ba92a3c8 0 0
51d7e0fc e369fa18 e7ffc13e ba92a3c8 ba92a3cc 0 1
114c6058 22e1bf5a ecd14bf9 ba92a3c8 ba92a3cc 0 1
3572c01f be2878ae 217aa437 ba92a3c8 ba92a3cc 0 0
941ecc4b 42c2e52d 4fb68935 ba92a3cc ba92a3d0 0 0
ba911107 64d8e843 d5d3bc78 ba92a3d0 ba92a3d4 0 1
8edf44c0 5f283cdf 105e976b ba92a3d0 ba92a3d4 0 0
39fcce8f a3471824 d04bc59f ba92a3d4 ba92a3d8 0 1
ba8b975e 4eb31a41 c89540bf ba92a3d4 ba92a3d8 0 1
d337fabc 9d766833 f1d7f1aa ba92a3d4 ba92a3d8 0 1
94c2bb89 16dc4549 de2820ef ba92a3d4 ba92a3d8 0 0
85a50306 01ef4556 dce15acd ba92a3d8 ba92a3dc 0 0
092cf51a 7923265e fd5ab737 ba92a3dc ba92a3e0 0 0
8bbec6e9 1e77c2f5 b1c4a81c ba92a3e0 ba92a3e4 0 0
ee4c9492 a0c50e42 362a51c2 ba92a3e4 ba92a3e8 0 0
82361e31 b4785264 71b70a1c ba92a3e8 ba92a3ec 0 0
502f0708 3669bb43 d7cf7fbb ba92a3ec ba92a3f0 0 0
f67e1003 09c55e58 78b3c23e ba92a3f0 ba92a3f4 0 1
410b12d9 349eeb1d c3050a1c ba92a3f0 ba92a3f4 0 0
389d279e 5fc91303 9e61d8bb ba92a3f4 ba92a3f8 0 0
4d0cad3b df2e7276 56160dd1 ba92a3f8 ba92a3fc 0 1
09ea91fd d0ee4bd3 ef20fc8b ba92a3f8 ba92a3fc 0 0
33ed1209 4f8dc250 c7b999ab ba92a3fc ba92a400 0 0
7f3a9486 cf2856cf a6df3219 ba92a400 ba92a404 0 1
93b23c97 d396f856 15087f96 ba92a400 ba92a404 0 0
15e396c7 37a0c4d0 3dcf5adc ba92a404 ba92a408 0 1
11c8a286 704b5e21 e7a3aa0d ba92a404 ba92a408 0 1
1fe59765 ce732073 8921d86a ba92a404 ba92a408 0 1
78718158 e088b194 4d8b41a7 ba92a404 ba92a408 0 0
